Gas,"NFR/CRF Group",Source,Activity,Units,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A1ai,"Miscellaneous industrial/commercial combustion",MSW,kilotonne,137.182743650782,151.586384634491,143.300312162509,153.884203051091,157.574638689873,136.705274888891,143.240628567272,166.905174078491,165.621976780909,160.688132908036,184.85004171289,213.796585402527,194.011473581672
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Burning oil",kilotonne,2.2937018,2.37260095,2.04930771000001,1.425747584,1.45063695438,1.632575886,3.97663192239999,1.8153396466,2.21838573450841,2.09190492228203,2.68199781020328,2.40013099518094,2.32194242017727
"Carbon Dioxide as Carbon",1A1ai,"Power stations",Coal,kilotonne,24508.9085986979,24711.1602629135,32945.8953979543,30539.3183523869,23397.8282362534,17837.2165186273,7411.49966405695,5341.92840731755,4001.20768614236,1765.12011363719,1421.03236239222,1567.97555222862,1376.16649077514
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Fuel oil",kilotonne,484.123770314633,340.790753130043,385.995731778215,302.574548135512,254.670692623007,250.558776753218,269.63581322209,202.77129517092,201.347451490661,185.060032167222,143.582450736253,141.326774066214,138.705701023529
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Gas oil",kilotonne,227.755085451094,231.596823076166,224.784396596054,234.29733313076,237.90297231193,226.949327101049,211.100219059762,204.36807377222,217.656154410766,210.557430547972,188.931200968958,190.696128361194,172.738914291525
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Natural gas",kilotonne,17266.9934927957,13850.4700414591,9216.96941871631,8791.04626205821,9514.08168505946,9317.81422845007,13592.9735931213,12930.6804178468,12357.8620678427,12310.6530654643,10358.4838538721,11421.6921473866,11747.4610962423
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Petroleum coke",kilotonne,184.493387217296,41.7835252712593,95.9512713314233,44.932026594604,-,29.561232,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ai,"Power stations",MSW,kilotonne,327.349280794437,331.132563093786,436.564271464549,420.349436013201,595.227316521018,845.084014522993,1050.51226302903,1118.11521738474,1304.33277433999,1465.45686905231,1603.14947500618,1673.25911595789,1683.4401016745
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Waste oils",kilotonne,55.4493276935528,46.9480230413514,39.402493810505,41.8169102181119,41.6260040969673,39.1874574951635,38.9451554844033,39.5821797287073,35.2786554326877,34.2167930237632,28.0370877501735,28.0692613831294,26.5468049709439
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Fuel oil",kilotonne,457.207547149073,417.456928925612,306.72861745973,300.667186167777,122.633064759089,241.68081168551,203.412806726478,179.804269668811,174.94752808807,107.761657771004,76.7329441939682,97.6748532146583,154.088995524123
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",LPG,kilotonne,4.38648844181597,10.1493671025811,8.01531894548884,5.3407292396041,8.58519950571873,7.08659069434461,6.60015231046934,7.40715846202758,8.75642233572775,5.93973434694885,3.37011519485726,9.25622130840997,19.461349907798
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",Naphtha,kilotonne,133.07028,78.81566,156.70046,87.8851400000002,144.55658,104.39296,40.5223,66.07398,50.2152,24.2536,-,0.83692,12.02432
